neuron_id,direction,cluster,nearest_cross_cluster,dist_to_nearest_cross,distance_metric
221644_085,FB,6,2,0.4949284470987407,euclidean
221706_133,FB,1,5,0.17386559574669622,euclidean
221714_042,FB,1,5,0.15117184439199827,euclidean
221751_063,FB,1,5,0.17386559574669622,euclidean
221751_065,FB,1,5,0.8522792189074384,euclidean
221751_071,FB,5,4,0.08308167341628206,euclidean
221751_085,FB,1,5,0.2212209104777485,euclidean
221751_087,FB,1,5,0.6621388074682822,euclidean
221751_089,FB,3,1,0.08605102300453746,euclidean
221756_065,FB,3,1,0.08605102300453746,euclidean
221757_074,FB,3,1,0.08605102300453746,euclidean
221757_075,FB,1,5,0.17386559574669622,euclidean
221757_078,FB,1,5,0.18274503657007488,euclidean
230105_019,FB,5,4,0.08308167341628206,euclidean
230108_030,FB,4,6,0.9166048950831517,euclidean
230108_032,FB,1,5,0.1709931430279689,euclidean
230110_029,FB,1,5,0.17386559574669622,euclidean
231567_099,FB,3,1,0.08605102300453746,euclidean
231567_123,FB,3,1,0.8942087408160587,euclidean
231568_028,FB,3,1,0.08605102300453746,euclidean
231568_033,FB,3,1,0.08605102300453746,euclidean
231568_034,FB,3,1,0.08605102300453746,euclidean
233795_061,FB,3,1,0.08605102300453746,euclidean
221419_056,FB,1,5,0.9424856481747351,euclidean
221419_061,FB,1,5,0.17386559574669622,euclidean
221424_043,FB,3,1,0.6020073961916381,euclidean
221475_105,FB,3,1,0.08605102300453746,euclidean
221715_001,FB,1,5,0.17386559574669622,euclidean
221751_262,FB,1,5,0.17386559574669622,euclidean
221757_072,FB,5,4,0.08308167341628206,euclidean
230108_031,FB,1,6,0.5886149370534487,euclidean
212075_027,FB,4,3,0.18724674143329317,euclidean
220239_169,FB,3,1,0.08605102300453746,euclidean
221418_141,FB,1,5,0.5540167426050109,euclidean
221418_142,FB,5,4,0.08308167341628206,euclidean
221419_059,FB,1,5,0.28294687413741876,euclidean
221423_013,FB,2,1,0.4189479852203175,euclidean
221423_014,FB,2,1,0.4683629655312114,euclidean
221423_016,FB,3,1,0.08605102300453746,euclidean
221423_032,FB,3,1,0.08605102300453746,euclidean
