 ,221701_056,231687_008,233379_037,233795_072,221090_098,221417_015,221418_139,231686_050,233379_030,233379_097,233379_130,233666_218,221090_092,221090_093,221091_113,221091_125,221418_127,221418_131,221418_132,221418_135,221418_150,221477_059,221515_017,231687_014,233379_123,233667_269,233284_183
="RSPv6a",="0",="0",="0",="0",="716.6954",="426.2614",="1080.7554",="0",="399.99490000000003",="0",="0",="0",="0",="3416.2291",="0",="1825.6649",="586.7855",="2850.1317",="2819.2039999999997",="2489.658",="5.9013",="0",="1412.1372999999999",="919.2353",="2475.5429999999997",="769.42",="241.6365"
="RSPv6b",="0",="0",="0",="0",="170.8775",="41.2324",="49.8593",="0",="216.8942",="0",="0",="0",="0",="119.7355",="0",="0",="179.1487",="46.3851",="179.3296",="333.1579",="0",="0",="20.4239",="41.3018",="215.6393",="0",="0"
="ec",="0",="0",="0",="0",="162.3195",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="100.197",="0",="0",="261.7082",="0",="0",="0",="91.6553",="0"
="ar",="0",="0",="0",="0",="423.3345",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1117.529",="0",="0",="145.6513",="194.0501",="0"
="SSp-tr6b",="0",="0",="0",="0",="0",="176.5568",="0",="0",="0",="0",="0",="0",="0",="0",="643.2449",="0",="0",="0",="0",="0",="0",="0",="271.4183",="585.1652",="0",="0",="0"
="AUDpo1",="0",="0",="0",="0",="0",="708.7208",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="AUDpo2/3",="0",="0",="0",="0",="0",="226.0699",="0",="0",="0",="0",="0",="0",="262.5286",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISal4",="0",="0",="0",="0",="0",="323.8461",="0",="0",="0",="965.0819",="221.1625",="473.8523",="434.6402",="0",="0",="0",="889.4792",="0",="0",="912.1446",="1000.1325",="0",="0",="563.6598",="0",="0",="200.2568"
="VISal5",="0",="0",="0",="0",="0",="671.183",="113.5255",="0",="0",="1876.5296",="0",="886.2871",="1609.8834",="0",="0",="0",="913.0888",="0",="0",="105.8101",="822.5954",="841.2972",="513.0563",="1030.285",="0",="0",="0"
="VISal6a",="0",="0",="0",="0",="0",="83.3477",="98.6921",="0",="0",="0",="0",="619.9224",="0",="1278.3676",="0",="810.7434",="932.8267",="0",="0",="0",="0",="306.5312",="165.6104",="0",="0",="0",="0"
="VISl1",="0",="0",="0",="0",="0",="258.1611",="0",="0",="469.9605",="0",="187.4441",="10602.6762",="840.734",="306.0492",="0",="0",="776.4642",="0",="0",="43.0605",="368.0883",="89.8851",="262.4825",="609.3767",="0",="4896.988",="3713.1448"
="VISl4",="0",="0",="0",="0",="0",="457.26239999999996",="0",="0",="64.495",="0",="701.5503",="1082.7538",="137.8454",="0",="0",="0",="128.0338",="0",="0",="108.2411",="472.6172",="0",="5051.1531",="174.3264",="0",="2585.1372",="0"
="VISl6a",="0",="0",="0",="0",="0",="413.5051",="42.336",="0",="0",="0",="1294.2747",="101.0129",="159.2303",="118.5629",="0",="0",="0",="0",="1087.6556",="656.7072",="0",="0",="1707.1737",="0",="577.7005",="1056.6948",="16.0923"
="VISl6b",="0",="0",="0",="0",="0",="13.7314",="0",="0",="0",="0",="200.4602",="0",="220.6042",="517.5467",="0",="0",="0",="0",="0",="0",="0",="0",="7.1876",="0",="0",="0",="257.8722"
="VISpl6a",="0",="0",="0",="0",="0",="888.5839",="240.9679",="0",="0",="0",="326.0517",="0",="280.5435",="232.114",="392.4652",="0",="0",="0",="533.1656",="0",="0",="0",="0",="0",="0",="0",="0"
="VISli1",="0",="0",="0",="0",="0",="303.6585",="0",="0",="0",="1491.4228",="315.2409",="822.0309",="239.2055",="0",="0",="0",="450.5481",="0",="0",="392.0064",="0",="237.265",="0",="1383.4332",="0",="676.0856",="1759.9065"
="ACAd6b",="0",="0",="0",="0",="0",="67.3539",="25.298",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ACAv5",="0",="0",="0",="0",="0",="764.1356",="1344.435",="157.8637",="0",="0",="915.9906",="1043.1479",="0",="0",="488.7083",="1493.9829",="0",="0",="0",="335.4058",="0",="488.0184",="0",="67.8977",="774.684",="0",="252.4763"
="TEa1",="0",="0",="0",="0",="0",="1710.9179",="0",="0",="0",="73.2864",="369.0087",="0",="496.8496",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="166.6959",="0",="0",="0"
="TEa2/3",="0",="0",="0",="0",="0",="1669.8272",="0",="0",="0",="190.1676",="479.3735",="0",="1532.2",="0",="0",="34.688",="0",="0",="0",="240.7261",="0",="91.7345",="0",="174.7363",="0",="0",="108.4589"
="TEa4",="0",="0",="0",="0",="0",="186.1368",="0",="0",="0",="6.5393",="736.3134",="0",="434.9292",="0",="0",="0",="0",="0",="0",="22.4455",="0",="127.3604",="0",="0",="0",="0",="111.2274"
="APr",="0",="0",="0",="0",="0",="5312.1138",="3325.5643",="0",="954.1618",="3272.6194",="0",="0",="0",="0",="72.7519",="0",="0",="831.4235",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ccg",="0",="0",="0",="0",="0",="132.2202",="304.4013",="0",="106.478",="0",="0",="0",="0",="0",="0",="0",="620.2837",="0",="0",="0",="0",="0",="0",="0",="172.3353",="0",="0"
